Category,Average Mean Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth)
1901,25.9,25.89
1902,25.88,25.76
1903,25.68,25.64
1904,25.13,25.53
1905,25.45,25.45
1906,25.69,25.4
1907,25.4,25.38
1908,25.35,25.4
1909,25.59,25.44
1910,25.36,25.5
1911,25.35,25.54
1912,25.65,25.57
1913,25.45,25.58
1914,25.63,25.57
1915,26.02,25.55
1916,25.49,25.53
1917,25.2,25.5
1918,25.13,25.47
1919,25.65,25.45
1920,25.62,25.44
1921,25.41,25.44
1922,25.64,25.46
1923,25.29,25.48
1924,25.6,25.52
1925,25.41,25.56
1926,25.58,25.61
1927,25.68,25.65
1928,25.8,25.69
1929,25.44,25.72
1930,25.83,25.74
1931,26.15,25.75
1932,25.63,25.76
1933,25.83,25.77
1934,25.47,25.78
1935,25.75,25.78
1936,25.81,25.79
1937,25.95,25.79
1938,25.83,25.79
1939,25.72,25.78
1940,25.74,25.77
1941,25.85,25.76
1942,25.78,25.75
1943,25.64,25.75
1944,25.7,25.76
1945,25.64,25.78
1946,25.92,25.81
1947,26.09,25.84
1948,26.02,25.85
1949,25.64,25.85
1950,25.64,25.81
1951,25.7,25.76
1952,25.79,25.71
1953,25.74,25.65
1954,25.67,25.6
1955,25.43,25.58
1956,25.41,25.58
1957,25.76,25.6
1958,25.72,25.62
1959,25.7,25.63
1960,25.74,25.64
1961,25.6,25.63
1962,25.47,25.61
1963,25.32,25.58
1964,25.63,25.56
1965,25.48,25.55
1966,25.94,25.55
1967,25.4,25.57
1968,25.5,25.6
1969,25.81,25.63
1970,25.93,25.65
1971,25.3,25.67
1972,25.58,25.68
1973,25.88,25.69
1974,25.66,25.69
1975,25.65,25.7
1976,25.48,25.71
1977,25.84,25.72
1978,25.82,25.75
1979,25.92,25.78
1980,26.01,25.82
1981,25.68,25.87
1982,25.79,25.93
1983,26.14,25.98
1984,25.92,26.04
1985,26.03,26.09
1986,25.89,26.13
1987,26.43,26.15
1988,26.37,26.15
1989,25.95,26.15
1990,26.17,26.13
1991,26.17,26.12
1992,26.04,26.12
1993,26.15,26.14
1994,26.26,26.16
1995,26.13,26.19
1996,26,26.22
1997,26.12,26.25
1998,26.76,26.28
1999,26.16,26.29
2000,26.31,26.3
2001,26.33,26.29
2002,26.21,26.28
2003,26.08,26.26
2004,26.21,26.23
2005,26.28,26.2
2006,26.32,26.17
2007,26.33,26.16
2008,26.04,26.15
2009,26.07,26.17
2010,26.26,26.2
2011,26.02,26.24
2012,26.36,26.28
2013,26.36,26.33
2014,26.23,26.37
2015,26.45,26.41
2016,26.8,26.45
2017,26.37,26.49
2018,26.54,26.54
2019,26.6,26.6
2020,26.72,26.67
2021,26.69,26.75
2022,26.61,26.83
2023,26.92,26.92
2024,27.16,27.01